,hackathon,participants
0,Build a Climate Fintech App,1008
1,October Circuits '22,501
2,IBM zStudent Contest,14672
3,Buidl the Future: A Global Hack for Web3,69
4,Chhalaang Hack,55
5,DSA Coding Contest - October 22,959
6,All Things e-Commerce - GeTS Hackathon,965
7,October Easy 22,48355
8,Quantum Science and Technology Hackathon 2022,1626
9,Build With Celo ReFi Hackathon '22,1357
10,Ballerina Coding Challenge,7587
11,September Circuits '22,46763
12,Data Structures and Algorithms Coding Contest - September 22,835
13,September Easy 22,48555
